protein_id,protein_name,cellular_location,immunogenicity_score,base_score
ENSP00000173546,CSPG4 protein,membrane,0.89,0.79
ENSP00000173548,SNX33 protein,membrane,0.96,0.86
ENSP00000173557,CIMIP2C protein,cytoplasm,0.75,0.65
ENSP00000173559,NABP1 protein,nucleus,0.64,0.49
ENSP00000173567,ADGRF3 protein,membrane,0.87,0.82
ENSP00000173572,NLRP13 protein,cytoplasm,0.69,0.5599999999999999
ENSP00000173575,CHD2 protein,nucleus,0.7200000000000001,0.5700000000000001
ENSP00000173578,XCR1 protein,membrane,0.91,0.86
ENSP00000173581,CCDC106 protein,nucleus,0.57,0.47
ENSP00000173585,CCR9 protein,membrane,0.88,0.83
ENSP00000173588,CEP83 protein,cytoplasm,0.64,0.54
ENSP00000173597,SULT1B1 protein,cytoplasm,0.7,0.5499999999999999
ENSP00000173598,NUDT4 protein,cytoplasm,0.72,0.57
ENSP00000173599,PC protein,mitochondria,0.39,0.29
ENSP00000173610,UGT2A1 protein,membrane,0.75,0.75
ENSP00000173611,SCAI protein,nucleus,0.65,0.55
ENSP00000173612,GPRC6A protein,membrane,0.9600000000000001,0.91
ENSP00000173614,NMNAT1 protein,nucleus,0.54,0.44
ENSP00000173621,LRFN4 protein,membrane,0.97,0.87
ENSP00000173626,TRAPPC3L protein,membrane,0.9800000000000001,0.93
ENSP00000173627,ENSG00000173627 protein,,0.05,0.0
ENSP00000173638,SLC19A1 protein,membrane,1.0,0.9
ENSP00000173641,HSPB7 protein,nucleus,0.69,0.59
ENSP00000173653,RCE1 protein,membrane,0.97,0.87
ENSP00000173660,UQCRH protein,mitochondria,0.39,0.24
ENSP00000173662,TAS1R1 protein,membrane,0.99,0.94
ENSP00000173673,HES3 protein,nucleus,0.51,0.48
ENSP00000173674,EIF1AX protein,cytoplasm,0.66,0.51
ENSP00000173678,ENSG00000173678 protein,,0.0,0.0
ENSP00000173679,OR1L1 protein,membrane,0.91,0.88
ENSP00000173681,ENSG00000173681 protein,,0.1,0.0
ENSP00000173692,PSMD1 protein,nucleus,0.7000000000000001,0.55
ENSP00000173698,ADGRG2 protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000173699,SPATA3 protein,membrane,0.8099999999999999,0.8099999999999999
ENSP00000173702,MUC13 protein,membrane,1.0,0.94
ENSP00000173705,SUSD5 protein,membrane,0.92,0.87
ENSP00000173706,HEG1 protein,membrane,0.87,0.77
ENSP00000173714,WFIKKN2 protein,secreted,0.71,0.6599999999999999
ENSP00000173715,TOP6BL protein,nucleus,0.51,0.41
ENSP00000173726,TOMM20 protein,mitochondria,0.36,0.21
ENSP00000173727,ENSG00000173727 protein,,0.1,0.0
ENSP00000173728,ENSG00000173728 protein,,0.05,0.0
ENSP00000173744,AGFG1 protein,cytoplasm,0.8,0.65
ENSP00000173757,STAT5B protein,cytoplasm,0.67,0.52
ENSP00000173762,CD7 protein,membrane,1.0,0.94
ENSP00000173769,TOPAZ1 protein,cytoplasm,0.6,0.6
ENSP00000173786,CNP protein,membrane,1.0,0.92
ENSP00000173801,JUP protein,cytoplasm,0.84,0.69
ENSP00000173805,HAP1 protein,cytoplasm,0.5700000000000001,0.52
ENSP00000173809,TDRD12 protein,,0.05,0.0
ENSP00000173810,ENSG00000173810 protein,,0.0,0.0
ENSP00000173811,ENSG00000173811 protein,,0.05,0.0
ENSP00000173812,EIF1 protein,cytoplasm,0.79,0.64
ENSP00000173818,ENDOV protein,cytoplasm,0.6,0.5
ENSP00000173821,RNF213 protein,cytoplasm,0.65,0.5
ENSP00000173825,TIGD3 protein,nucleus,0.53,0.48
ENSP00000173826,KCNH6 protein,membrane,0.8400000000000001,0.79
ENSP00000173838,ENSG00000173838 protein,,0.05,0.0
ENSP00000173846,PLK3 protein,nucleus,0.64,0.54
ENSP00000173848,NET1 protein,cytoplasm,0.78,0.63
ENSP00000173852,DPY19L1 protein,membrane,0.91,0.76
ENSP00000173862,ENSG00000173862 protein,,0.0,0.0
ENSP00000173867,ENSG00000173867 protein,,0.0,0.0
ENSP00000173868,PHOSPHO1 protein,secreted,0.87,0.77
ENSP00000173875,ZNF791 protein,nucleus,0.51,0.41
ENSP00000173889,PHC3 protein,nucleus,0.68,0.53
ENSP00000173890,GPR160 protein,membrane,1.0,0.91
ENSP00000173894,CBX2 protein,nucleus,0.52,0.42
ENSP00000173898,SPTBN2 protein,cytoplasm,0.72,0.62
ENSP00000173905,GOLIM4 protein,membrane,0.92,0.77
ENSP00000173908,KRT28 protein,cytoplasm,0.54,0.54
ENSP00000173914,RBM4B protein,nucleus,0.64,0.54
ENSP00000173915,ATP5MK protein,mitochondria,0.52,0.37
ENSP00000173917,HOXB2 protein,nucleus,0.59,0.49
ENSP00000173918,C1QTNF1 protein,secreted,0.7,0.6
ENSP00000173926,MARCHF3 protein,membrane,0.96,0.86
ENSP00000173928,SWSAP1 protein,nucleus,0.57,0.47
ENSP00000173930,SLCO4C1 protein,membrane,0.9299999999999999,0.83
ENSP00000173933,RBM4 protein,nucleus,0.59,0.49
ENSP00000173947,CIMAP3 protein,membrane,0.95,0.85
ENSP00000173950,XXYLT1 protein,membrane,0.96,0.86
ENSP00000173954,ENSG00000173954 protein,,0.0,0.0
ENSP00000173960,UBXN2A protein,membrane,0.99,0.89
ENSP00000173966,ENSG00000173966 protein,,0.0,0.0
ENSP00000173976,RAX2 protein,nucleus,0.47,0.47
ENSP00000173988,LRRC63 protein,membrane,0.88,0.83
ENSP00000173991,TCAP protein,cytoplasm,0.5800000000000001,0.53
ENSP00000173992,CCS protein,cytoplasm,0.6799999999999999,0.58
ENSP00000174004,NRROS protein,membrane,0.9199999999999999,0.82
ENSP00000174007,CEP19 protein,cytoplasm,0.6499999999999999,0.5499999999999999
ENSP00000174010,KLHL15 protein,nucleus,0.56,0.46
ENSP00000174013,FBXO45 protein,membrane,1.0,0.91
ENSP00000174015,CBY2 protein,membrane,0.9600000000000001,0.91
ENSP00000174016,ENSG00000174016 protein,,0.0,0.0
ENSP00000174021,GNG5 protein,membrane,1.0,0.87
ENSP00000174028,ENSG00000174028 protein,,0.05,0.0
ENSP00000174032,SLC25A30 protein,mitochondria,0.36,0.26
ENSP00000174038,ENSG00000174038 protein,,0.0,0.0
ENSP00000174059,CD34 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000174080,CTSF protein,membrane,0.89,0.79
ENSP00000174099,MSRB3 protein,membrane,0.89,0.79
ENSP00000174106,LEMD3 protein,membrane,1.0,0.88
ENSP00000174109,UQCC4 protein,mitochondria,0.31,0.21
ENSP00000174123,TLR10 protein,membrane,1.0,0.94
ENSP00000174125,TLR1 protein,membrane,0.95,0.85
ENSP00000174130,TLR6 protein,membrane,0.96,0.86
ENSP00000174132,FAM174A protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000174136,RGMB protein,membrane,0.9199999999999999,0.82
ENSP00000174137,FAM53A protein,nucleus,0.56,0.51
ENSP00000174145,NWD2 protein,,0.1,0.0
ENSP00000174151,CYB561D1 protein,membrane,1.0,0.9
ENSP00000174156,GSTA3 protein,cytoplasm,0.57,0.57
ENSP00000174165,ZDHHC24 protein,membrane,1.0,0.91
ENSP00000174171,ENSG00000174171 protein,,0.05,0.0
ENSP00000174173,TRMT10C protein,mitochondria,0.51,0.36
ENSP00000174175,SELP protein,membrane,0.9299999999999999,0.83
ENSP00000174177,CTU2 protein,cytoplasm,0.73,0.63
ENSP00000174197,MGA protein,nucleus,0.63,0.48
ENSP00000174206,KICS2 protein,membrane,0.99,0.89
ENSP00000174225,ARL13A protein,membrane,0.89,0.84
ENSP00000174226,SNX31 protein,membrane,0.86,0.8099999999999999
ENSP00000174227,PIGG protein,membrane,0.96,0.8099999999999999
ENSP00000174231,PRPF8 protein,nucleus,0.55,0.4
ENSP00000174233,ADCY6 protein,membrane,0.93,0.78
ENSP00000174236,REP15 protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000174238,PITPNA protein,cytoplasm,0.75,0.6
ENSP00000174243,DDX23 protein,nucleus,0.7000000000000001,0.55
ENSP00000174255,ZNF80 protein,nucleus,0.45999999999999996,0.41
ENSP00000174276,ENSG00000174276 protein,,0.1,0.0
ENSP00000174279,EVX2 protein,nucleus,0.64,0.59
ENSP00000174282,ZBTB4 protein,nucleus,0.68,0.53
ENSP00000174292,TNK1 protein,membrane,0.86,0.76
ENSP00000174306,ZHX3 protein,nucleus,0.6,0.5
ENSP00000174307,PHLDA3 protein,membrane,1.0,0.93
ENSP00000174325,ENSG00000174325 protein,,0.05,0.0
ENSP00000174326,SLC16A11 protein,membrane,0.93,0.88
ENSP00000174327,SLC16A13 protein,membrane,1.0,0.92
ENSP00000174332,GLIS1 protein,nucleus,0.52,0.47
ENSP00000174339,OR2Y1 protein,membrane,0.93,0.9
ENSP00000174343,CHRNA9 protein,membrane,0.8,0.75
ENSP00000174348,PODN protein,secreted,0.7599999999999999,0.6599999999999999
ENSP00000174353,ENSG00000174353 protein,,0.05,0.0
ENSP00000174358,SLC6A19 protein,membrane,0.99,0.84
ENSP00000174365,SNHG11 protein,nucleus,0.51,0.41
ENSP00000174370,ENSG00000174370 protein,,0.05,0.0
ENSP00000174371,EXO1 protein,nucleus,0.65,0.55
ENSP00000174373,RALGAPA1 protein,nucleus,0.6799999999999999,0.58
ENSP00000174384,ENSG00000174384 protein,,0.0,0.0
ENSP00000174403,ENSG00000174403 protein,,0.05,0.0
ENSP00000174405,LIG4 protein,nucleus,0.57,0.47
ENSP00000174407,ENSG00000174407 protein,,0.05,0.0
ENSP00000174408,ENSG00000174408 protein,,0.0,0.0
ENSP00000174417,TRHR protein,membrane,0.75,0.75
ENSP00000174418,ENSG00000174418 protein,,0.0,0.0
ENSP00000174428,GTF2IRD2B protein,nucleus,0.67,0.5700000000000001
ENSP00000174429,ABRA protein,cytoplasm,0.5800000000000001,0.53
ENSP00000174437,ATP2A2 protein,membrane,1.0,0.92
ENSP00000174442,ZWILCH protein,nucleus,0.58,0.48
ENSP00000174444,RPL4 protein,cytoplasm,0.74,0.59
ENSP00000174446,SNAPC5 protein,nucleus,0.7,0.4
ENSP00000174448,ENSG00000174448 protein,,0.0,0.0
ENSP00000174450,ENSG00000174450 protein,,0.05,0.0
ENSP00000174453,VWC2L protein,secreted,0.74,0.74
ENSP00000174456,C12orf76 protein,membrane,0.94,0.84
ENSP00000174460,ZCCHC12 protein,nucleus,0.49,0.44
ENSP00000174469,CNTNAP2 protein,membrane,0.9199999999999999,0.82
ENSP00000174473,GALNTL6 protein,membrane,0.87,0.77
ENSP00000174482,LINGO2 protein,secreted,0.77,0.72
ENSP00000174483,BBS1 protein,membrane,0.92,0.87
ENSP00000174485,DENND4A protein,cytoplasm,0.71,0.61
ENSP00000174495,ENSG00000174495 protein,,0.0,0.0
ENSP00000174498,IGDCC3 protein,membrane,0.89,0.84
ENSP00000174500,GCSAM protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000174501,ENSG00000174501 protein,,0.1,0.0
ENSP00000174502,SLC26A9 protein,membrane,0.85,0.75
ENSP00000174514,MFSD4A protein,membrane,0.95,0.7999999999999999
ENSP00000174516,PELI3 protein,cytoplasm,0.6799999999999999,0.58
ENSP00000174521,TTC9B protein,,0.05,0.0
ENSP00000174527,MYO1H protein,cytoplasm,0.68,0.63
ENSP00000174529,TMEM81 protein,membrane,0.99,0.94
ENSP00000174547,MRPL11 protein,mitochondria,0.52,0.37
ENSP00000174562,KLK15 protein,secreted,0.8099999999999999,0.71
ENSP00000174564,IL20RB protein,membrane,0.85,0.7999999999999999
ENSP00000174567,GOLT1A protein,membrane,1.0,0.93
ENSP00000174572,ENSG00000174572 protein,,0.0,0.0
ENSP00000174574,AKIRIN1 protein,nucleus,0.67,0.52
ENSP00000174576,NPAS4 protein,nucleus,0.5900000000000001,0.54
ENSP00000174579,MSL2 protein,nucleus,0.58,0.48
ENSP00000174586,ZNF497 protein,nucleus,0.5900000000000001,0.54
ENSP00000174599,TRAM1L1 protein,membrane,0.9600000000000001,0.91
ENSP00000174600,CMKLR1 protein,membrane,0.87,0.77
ENSP00000174606,ANGEL2 protein,mitochondria,0.42000000000000004,0.32
ENSP00000174607,UGT8 protein,membrane,1.0,0.92
ENSP00000174611,KY protein,cytoplasm,0.63,0.58
ENSP00000174628,ENSG00000174628 protein,,0.1,0.0
ENSP00000174640,SLCO2A1 protein,membrane,1.0,0.85
ENSP00000174652,ZNF266 protein,nucleus,0.52,0.42
ENSP00000174667,OR7D4 protein,membrane,0.75,0.75
ENSP00000174669,SLC29A2 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000174672,BRSK2 protein,cytoplasm,0.72,0.62
ENSP00000174677,ENSG00000174677 protein,,0.03,0.0
ENSP00000174678,ENSG00000174678 protein,,0.05,0.0
ENSP00000174680,ENSG00000174680 protein,,0.05,0.0
ENSP00000174684,B4GAT1 protein,membrane,0.89,0.79
ENSP00000174695,TMEM167A protein,membrane,1.0,0.93
ENSP00000174697,LEP protein,secreted,0.7899999999999999,0.69
ENSP00000174705,SH3PXD2B protein,cytoplasm,0.61,0.51
ENSP00000174715,ENSG00000174715 protein,,0.05,0.0
ENSP00000174718,RESF1 protein,nucleus,0.61,0.46
ENSP00000174720,LARP7 protein,nucleus,0.58,0.43
ENSP00000174721,FGFBP3 protein,secreted,0.8799999999999999,0.6799999999999999
ENSP00000174738,NR1D2 protein,nucleus,0.7000000000000001,0.55
ENSP00000174740,PABPC5 protein,cytoplasm,0.7000000000000001,0.65
ENSP00000174744,BRMS1 protein,nucleus,0.68,0.53
ENSP00000174748,RPL15 protein,cytoplasm,0.79,0.64
ENSP00000174749,FAM241A protein,membrane,0.89,0.79
ENSP00000174775,HRAS protein,membrane,0.94,0.84
ENSP00000174776,WDR49 protein,,0.05,0.0
ENSP00000174780,SRP72 protein,membrane,1.0,0.91
ENSP00000174788,ENSG00000174788 protein,,0.05,0.0
ENSP00000174791,RIN1 protein,cytoplasm,0.6,0.5
ENSP00000174792,ODAPH protein,secreted,0.8200000000000001,0.77
ENSP00000174796,THAP6 protein,cytoplasm,0.7799999999999999,0.6799999999999999
ENSP00000174799,CEP135 protein,cytoplasm,0.7,0.6
ENSP00000174804,FZD4 protein,membrane,0.98,0.78
ENSP00000174807,CD248 protein,secreted,0.85,0.75
ENSP00000174808,BTC protein,secreted,0.7,0.6
ENSP00000174827,PDZK1 protein,membrane,0.99,0.89
ENSP00000174837,ADGRE1 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000174839,DENND6A protein,membrane,0.95,0.85
ENSP00000174840,PDE12 protein,mitochondria,0.3799999999999999,0.2299999999999999
ENSP00000174842,GLMN protein,cytoplasm,0.7799999999999999,0.6799999999999999
ENSP00000174844,DNAH12 protein,cytoplasm,0.5700000000000001,0.52
ENSP00000174851,YIF1A protein,membrane,0.91,0.76
ENSP00000174871,CNIH2 protein,membrane,0.9400000000000001,0.89
ENSP00000174876,AMY1B protein,secreted,0.79,0.76
ENSP00000174885,NLRP6 protein,cytoplasm,0.78,0.63
ENSP00000174886,NDUFA11 protein,mitochondria,0.48,0.38
ENSP00000174891,RSRC1 protein,nucleus,0.54,0.44
ENSP00000174898,CATSPERD protein,membrane,0.75,0.75
ENSP00000174899,ENSG00000174899 protein,,0.05,0.0
ENSP00000174903,RAB1B protein,membrane,1.0,0.89
ENSP00000174912,ENSG00000174912 protein,,0.05,0.0
ENSP00000174914,OR9G1 protein,membrane,0.79,0.76
ENSP00000174915,PTDSS2 protein,membrane,0.86,0.76
ENSP00000174917,MICOS13 protein,mitochondria,0.41000000000000003,0.26
ENSP00000174928,C3orf33 protein,secreted,0.8,0.75
ENSP00000174930,ENSG00000174930 protein,,0.0,0.0
ENSP00000174937,OR5M3 protein,membrane,0.92,0.89
ENSP00000174938,SEZ6L2 protein,membrane,1.0,0.94
ENSP00000174939,ASPHD1 protein,membrane,1.0,0.94
ENSP00000174943,KCTD13 protein,nucleus,0.5,0.4
ENSP00000174944,P2RY14 protein,membrane,0.86,0.76
ENSP00000174945,AMZ1 protein,,0.05,0.0
ENSP00000174946,GPR171 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000174948,GPR149 protein,membrane,0.86,0.86
ENSP00000174950,CD164L2 protein,membrane,0.92,0.87
ENSP00000174951,FUT1 protein,membrane,0.98,0.88
ENSP00000174953,DHX36 protein,nucleus,0.67,0.52
ENSP00000174957,OR5J2 protein,membrane,0.8200000000000001,0.79
ENSP00000174963,ZIC4 protein,nucleus,0.53,0.48
ENSP00000174970,OR10AG1 protein,membrane,0.9600000000000001,0.93
ENSP00000174977,ENSG00000174977 protein,,0.1,0.0
ENSP00000174982,OR4S2 protein,membrane,0.88,0.85
ENSP00000174989,FBXW8 protein,cytoplasm,0.7599999999999999,0.6599999999999999
ENSP00000174990,CA5A protein,mitochondria,0.3799999999999999,0.3299999999999999
ENSP00000174992,ZG16 protein,membrane,1.0,0.94
ENSP00000174996,KLC2 protein,cytoplasm,0.7,0.6
ENSP00000175003,SLC22A1 protein,membrane,0.87,0.82
ENSP00000175018,ENSG00000175018 protein,,0.03,0.0
ENSP00000175029,CTBP2 protein,nucleus,0.63,0.48
ENSP00000175040,CHST2 protein,membrane,0.9199999999999999,0.82
ENSP00000175048,ZDHHC14 protein,membrane,0.86,0.76
ENSP00000175054,ATR protein,nucleus,0.59,0.44
ENSP00000175061,SNHG29 protein,nucleus,0.7200000000000001,0.5700000000000001
ENSP00000175063,UBE2C protein,nucleus,0.6,0.45
ENSP00000175065,DSG4 protein,membrane,0.9,0.85
ENSP00000175066,GK5 protein,mitochondria,0.4899999999999999,0.3399999999999999
ENSP00000175073,VCPIP1 protein,membrane,1.0,0.89
ENSP00000175077,RTP1 protein,membrane,0.91,0.91
ENSP00000175084,DES protein,cytoplasm,0.71,0.5599999999999999
ENSP00000175087,PDIK1L protein,nucleus,0.64,0.54
ENSP00000175093,SPSB4 protein,cytoplasm,0.5800000000000001,0.53
ENSP00000175097,RAG2 protein,nucleus,0.49,0.49
ENSP00000175104,TRAF6 protein,cytoplasm,0.74,0.64
ENSP00000175105,ZNF654 protein,nucleus,0.62,0.52
ENSP00000175106,TVP23C protein,membrane,1.0,0.91
ENSP00000175110,MRPS22 protein,mitochondria,0.39,0.24
ENSP00000175115,PACS1 protein,membrane,0.94,0.84
ENSP00000175121,WFDC5 protein,secreted,0.75,0.7
ENSP00000175130,MARCKSL1 protein,membrane,1.0,0.86
ENSP00000175137,SH3BP5L protein,cytoplasm,0.7799999999999999,0.6799999999999999
ENSP00000175143,OR2T1 protein,membrane,0.91,0.88
ENSP00000175147,ENSG00000175147 protein,,0.1,0.0
ENSP00000175155,YPEL2 protein,nucleus,0.56,0.46
ENSP00000175161,CADM2 protein,membrane,0.99,0.94
ENSP00000175164,ABO protein,membrane,0.9,0.75
ENSP00000175166,PSMD2 protein,secreted,0.84,0.69
ENSP00000175170,ENSG00000175170 protein,,0.05,0.0
ENSP00000175175,PPM1E protein,nucleus,0.6200000000000001,0.5700000000000001
ENSP00000175182,ENSG00000175182 protein,,0.1,0.0
ENSP00000175183,CSRP2 protein,nucleus,0.52,0.42
ENSP00000175189,INHBC protein,secreted,0.71,0.6599999999999999
ENSP00000175193,PARL protein,membrane,0.9299999999999999,0.83
ENSP00000175197,DDIT3 protein,nucleus,0.57,0.47
ENSP00000175198,PCCA protein,mitochondria,0.42999999999999994,0.2799999999999999
ENSP00000175202,HIGD2B protein,membrane,0.92,0.92
ENSP00000175203,DCTN2 protein,cytoplasm,0.79,0.64
ENSP00000175206,NPPA protein,secreted,0.71,0.6599999999999999
ENSP00000175213,ZNF408 protein,nucleus,0.57,0.47
ENSP00000175215,CTDSP2 protein,nucleus,0.63,0.48
ENSP00000175216,CKAP5 protein,cytoplasm,0.71,0.5599999999999999
ENSP00000175220,ARHGAP1 protein,cytoplasm,0.83,0.6799999999999999
ENSP00000175221,MED16 protein,nucleus,0.66,0.51
ENSP00000175224,ATG13 protein,cytoplasm,0.78,0.63
ENSP00000175229,GAL3ST3 protein,membrane,0.79,0.79
ENSP00000175262,ENSG00000175262 protein,,0.05,0.0
ENSP00000175264,CHST1 protein,membrane,0.92,0.87
ENSP00000175265,GOLGA8A protein,membrane,1.0,0.9
ENSP00000175267,VWA3A protein,secreted,0.77,0.72
ENSP00000175274,TP53I11 protein,membrane,1.0,0.77
ENSP00000175279,CENPS protein,nucleus,0.6,0.5
ENSP00000175283,DOLK protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000175287,ENSG00000175287 protein,,0.1,0.0
ENSP00000175294,CATSPER1 protein,membrane,0.88,0.83
ENSP00000175302,ENSG00000175302 protein,,0.05,0.0
ENSP00000175305,CCNE2 protein,nucleus,0.57,0.47
ENSP00000175309,PHYKPL protein,mitochondria,0.45999999999999996,0.31
ENSP00000175311,ANKS4B protein,membrane,0.99,0.84
ENSP00000175315,CST6 protein,secreted,0.8200000000000001,0.77
ENSP00000175318,GRAMD2A protein,membrane,0.88,0.78
ENSP00000175319,ENSG00000175319 protein,,0.03,0.0
ENSP00000175322,ZNF519 protein,nucleus,0.6,0.5
ENSP00000175324,LSM1 protein,cytoplasm,0.75,0.65
ENSP00000175325,PROP1 protein,nucleus,0.5,0.47
ENSP00000175329,ISX protein,nucleus,0.74,0.59
ENSP00000175334,BANF1 protein,nucleus,0.62,0.47
ENSP00000175336,APOF protein,secreted,0.7899999999999999,0.7899999999999999
ENSP00000175344,CHRNA7 protein,membrane,0.95,0.85
ENSP00000175348,TMEM9B protein,membrane,0.93,0.78
ENSP00000175352,ENSG00000175352 protein,,0.05,0.0
ENSP00000175354,PTPN2 protein,membrane,0.95,0.7999999999999999
ENSP00000175356,SCUBE2 protein,secreted,0.87,0.77
ENSP00000175376,EIF1AD protein,nucleus,0.59,0.49
ENSP00000175387,SMAD2 protein,nucleus,0.73,0.58
ENSP00000175390,EIF3F protein,cytoplasm,0.73,0.58
ENSP00000175395,ZNF25 protein,nucleus,0.6799999999999999,0.58
ENSP00000175398,OR10P1 protein,membrane,0.92,0.89
ENSP00000175414,ARL10 protein,mitochondria,0.3299999999999999,0.2299999999999999
ENSP00000175416,CLTB protein,membrane,0.95,0.7999999999999999
ENSP00000175426,PCSK1 protein,membrane,1.0,0.9
ENSP00000175445,LPL protein,secreted,0.7999999999999999,0.7
ENSP00000175449,ENSG00000175449 protein,,0.05,0.0
ENSP00000175455,CCDC14 protein,cytoplasm,0.73,0.58
ENSP00000175463,TBC1D10C protein,membrane,0.86,0.76
ENSP00000175467,SART1 protein,nucleus,0.66,0.51
ENSP00000175470,PPP2R2D protein,cytoplasm,0.73,0.63
ENSP00000175471,MCTP1 protein,membrane,1.0,0.94
ENSP00000175482,POLD4 protein,nucleus,0.54,0.44
ENSP00000175485,OR52W1 protein,membrane,0.8099999999999999,0.8099999999999999
ENSP00000175489,LRRC25 protein,cytoplasm,0.7,0.6
ENSP00000175497,DPP10 protein,membrane,0.87,0.77
ENSP00000175505,CLCF1 protein,secreted,0.71,0.61
ENSP00000175509,ENSG00000175509 protein,,0.05,0.0
ENSP00000175513,TSGA10IP protein,cytoplasm,0.58,0.58
ENSP00000175514,GPR152 protein,membrane,0.86,0.86
ENSP00000175518,UBQLNL protein,cytoplasm,0.71,0.6599999999999999
ENSP00000175520,UBQLN3 protein,cytoplasm,0.53,0.53
ENSP00000175535,PNLIP protein,secreted,0.75,0.75
ENSP00000175536,LIPT2 protein,mitochondria,0.4,0.3
ENSP00000175538,KCNE3 protein,membrane,1.0,0.92
ENSP00000175544,CABP4 protein,cytoplasm,0.5800000000000001,0.53
ENSP00000175548,ALG10B protein,membrane,0.97,0.87
ENSP00000175550,DRAP1 protein,nucleus,0.64,0.49
ENSP00000175556,LONRF3 protein,cytoplasm,0.7899999999999999,0.69
ENSP00000175564,UCP3 protein,mitochondria,0.3899999999999999,0.3399999999999999
ENSP00000175567,UCP2 protein,mitochondria,0.52,0.37
ENSP00000175573,ENSG00000175573 protein,,0.1,0.0
ENSP00000175575,PAAF1 protein,membrane,0.97,0.87
ENSP00000175581,MRPL48 protein,mitochondria,0.45999999999999996,0.31
ENSP00000175582,RAB6A protein,membrane,1.0,0.9
ENSP00000175591,P2RY2 protein,membrane,1.0,0.94
ENSP00000175592,FOSL1 protein,nucleus,0.57,0.47
ENSP00000175595,ERCC4 protein,nucleus,0.62,0.52
ENSP00000175600,SUGCT protein,mitochondria,0.45999999999999996,0.36
ENSP00000175602,CCDC85B protein,nucleus,0.67,0.5700000000000001
ENSP00000175604,ENSG00000175604 protein,,0.0,0.0
ENSP00000175606,TMEM70 protein,mitochondria,0.53,0.38
ENSP00000175611,ENSG00000175611 protein,,0.1,0.0
ENSP00000175619,OR4B1 protein,membrane,0.93,0.93
ENSP00000175634,RPS6KB2 protein,nucleus,0.5,0.4
ENSP00000175643,RMI2 protein,nucleus,0.54,0.44
ENSP00000175646,PRM1 protein,nucleus,0.44999999999999996,0.42
ENSP00000175658,ENSG00000175658 protein,,0.03,0.0
ENSP00000175662,TOM1L2 protein,membrane,0.98,0.83
ENSP00000175664,TEX26 protein,cytoplasm,0.6,0.5499999999999999
ENSP00000175676,ENSG00000175676 protein,,0.0,0.0
ENSP00000175691,ZNF77 protein,nucleus,0.6799999999999999,0.58
ENSP00000175697,GPR156 protein,membrane,0.99,0.94
ENSP00000175699,CCDC197 protein,membrane,0.82,0.82
ENSP00000175701,MTLN protein,mitochondria,0.36,0.26
ENSP00000175707,KDF1 protein,cytoplasm,0.62,0.52
ENSP00000175711,B3GNTL1 protein,cytoplasm,0.6699999999999999,0.57
ENSP00000175718,RBMXL3 protein,,0.03,0.0
ENSP00000175727,MLXIP protein,nucleus,0.7100000000000001,0.56
ENSP00000175728,ENSG00000175728 protein,,0.0,0.0
ENSP00000175730,ENSG00000175730 protein,,0.05,0.0
ENSP00000175741,ENSG00000175741 protein,,0.05,0.0
ENSP00000175745,NR2F1 protein,nucleus,0.65,0.55
ENSP00000175746,ENSG00000175746 protein,,0.05,0.0
ENSP00000175749,ENSG00000175749 protein,,0.05,0.0
ENSP00000175756,AURKAIP1 protein,mitochondria,0.3699999999999999,0.2199999999999999
ENSP00000175764,TTLL11 protein,cytoplasm,0.73,0.63
ENSP00000175766,EIF4E1B protein,cytoplasm,0.59,0.59
ENSP00000175768,TOMM5 protein,mitochondria,0.48,0.38
ENSP00000175772,ENSG00000175772 protein,,0.1,0.0
ENSP00000175773,ENSG00000175773 protein,,0.05,0.0
ENSP00000175779,ENSG00000175779 protein,,0.05,0.0
ENSP00000175782,SLC35E3 protein,membrane,1.0,0.91
ENSP00000175785,PRIMA1 protein,membrane,0.99,0.89
ENSP00000175787,ZNF169 protein,nucleus,0.5,0.4
ENSP00000175792,RUVBL1 protein,nucleus,0.65,0.5
ENSP00000175793,SFN protein,cytoplasm,0.8,0.65
ENSP00000175800,ENSG00000175800 protein,,0.05,0.0
ENSP00000175806,MSRA protein,cytoplasm,0.6599999999999999,0.5599999999999999
ENSP00000175809,CBLL2 protein,cytoplasm,0.5700000000000001,0.54
ENSP00000175820,CCDC168 protein,membrane,0.88,0.83
ENSP00000175826,CTDNEP1 protein,membrane,0.92,0.77
ENSP00000175832,ETV4 protein,nucleus,0.58,0.43
ENSP00000175841,ENSG00000175841 protein,,0.05,0.0
ENSP00000175854,ENSG00000175854 protein,,0.1,0.0
ENSP00000175857,GAPT protein,membrane,1.0,0.91
ENSP00000175866,BAIAP2 protein,cytoplasm,0.69,0.59
ENSP00000175868,CALCB protein,secreted,0.87,0.77
ENSP00000175874,CREG2 protein,membrane,0.87,0.82
ENSP00000175877,TMEM270 protein,membrane,0.8200000000000001,0.77
ENSP00000175879,HOXD8 protein,nucleus,0.69,0.59
